Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
14/08/93,Arsenal,Coventry,0,3,A,,,,M Riley,,,,,,,,,,,,
14/08/93,Aston Villa,QPR,4,1,H,,,,P Durkin,,,,,,,,,,,,
14/08/93,Chelsea,Blackburn,1,2,A,,,,D Elleray,,,,,,,,,,,,
14/08/93,Liverpool,Sheffield Weds,2,0,H,,,,G Hall,,,,,,,,,,,,
14/08/93,Man City,Leeds,1,1,D,,,,R Jones,,,,,,,,,,,,
14/08/93,Newcastle,Tottenham,0,1,A,,,,T Riley,,,,,,,,,,,,
14/08/93,Oldham,Ipswich,0,3,A,,,,J Kelly,,,,,,,,,,,,
14/08/93,Sheffield United,Swindon,3,1,H,,,,A Baker,,,,,,,,,,,,
14/08/93,Southampton,Everton,0,2,A,,,,K Winter,,,,,,,,,,,,
14/08/93,West Ham,Wimbledon,0,2,A,,,,S Lodge,,,,,,,,,,,,
15/08/93,Norwich,Man United,0,2,A,,,,P Jones,,,,,,,,,,,,
16/08/93,Tottenham,Arsenal,0,1,A,,,,L Stevens,,,,,,,,,,,,
17/08/93,Everton,Man City,1,0,H,,,,C Cooper,,,,,,,,,,,,
17/08/93,Ipswich,Southampton,1,0,H,,,,D Smith,,,,,,,,,,,,
17/08/93,Leeds,West Ham,1,0,H,,,,N Graham,,,,,,,,,,,,
17/08/93,Wimbledon,Chelsea,1,1,D,,,,S Dunn,,,,,,,,,,,,
18/08/93,Blackburn,Norwich,2,3,A,,,,R Styles,,,,,,,,,,,,
18/08/93,Coventry,Newcastle,2,1,H,,,,P Walton,,,,,,,,,,,,
18/08/93,Man United,Sheffield United,3,0,H,,,,M Dean,,,,,,,,,,,,
18/08/93,QPR,Liverpool,1,3,A,,,,S Wicks,,,,,,,,,,,,
18/08/93,Sheffield Weds,Aston Villa,0,0,D,,,,M Riley,,,,,,,,,,,,
