Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
15/08/98,Blackburn,Derby,0,0,D,0,0,D,L Stevens,,,,,,,,,,,,
15/08/98,Coventry,Chelsea,2,1,H,2,1,H,C Cooper,,,,,,,,,,,,
15/08/98,Everton,Aston Villa,0,0,D,0,0,D,D Smith,,,,,,,,,,,,
15/08/98,Man United,Leicester,2,2,D,0,1,A,N Graham,,,,,,,,,,,,
15/08/98,Middlesbrough,Leeds,0,0,D,0,0,D,S Dunn,,,,,,,,,,,,
15/08/98,Newcastle,Charlton,0,0,D,0,0,D,R Styles,,,,,,,,,,,,
15/08/98,Sheffield Weds,West Ham,0,1,A,0,0,D,P Walton,,,,,,,,,,,,
15/08/98,Wimbledon,Tottenham,3,1,H,0,0,D,M Dean,,,,,,,,,,,,
16/08/98,Southampton,Liverpool,1,2,A,1,1,D,S Wicks,,,,,,,,,,,,
17/08/98,Arsenal,Nott'm Forest,2,1,H,0,0,D,M Riley,,,,,,,,,,,,
22/08/98,Charlton,Blackburn,1,0,H,0,0,D,P Durkin,,,,,,,,,,,,
22/08/98,Chelsea,Middlesbrough,2,1,H,1,1,D,D Elleray,,,,,,,,,,,,
22/08/98,Derby,Coventry,1,1,D,1,0,H,G Hall,,,,,,,,,,,,
22/08/98,Leeds,Man United,0,1,A,0,1,A,R Jones,,,,,,,,,,,,
22/08/98,Leicester,Arsenal,1,1,D,0,0,D,T Riley,,,,,,,,,,,,
22/08/98,Liverpool,Southampton,1,1,D,0,0,D,J Kelly,,,,,,,,,,,,
22/08/98,Nott'm Forest,Everton,2,1,H,1,1,D,A Baker,,,,,,,,,,,,
22/08/98,Tottenham,Newcastle,0,0,D,0,0,D,K Winter,,,,,,,,,,,,
22/08/98,West Ham,Wimbledon,3,0,H,2,0,H,S Lodge,,,,,,,,,,,,
23/08/98,Aston Villa,Sheffield Weds,1,0,H,0,0,D,P Jones,,,,,,,,,,,,
24/08/98,Nott'm Forest,Arsenal,0,1,A,0,0,D,L Stevens,,,,,,,,,,,,
26/08/98,Blackburn,Charlton,1,0,H,0,0,D,C Cooper,,,,,,,,,,,,
26/08/98,Coventry,Derby,1,1,D,1,1,D,D Smith,,,,,,,,,,,,
26/08/98,Everton,Nott'm Forest,2,0,H,1,0,H,N Graham,,,,,,,,,,,,
26/08/98,Leeds,Middlesbrough,0,0,D,0,0,D,S Dunn,,,,,,,,,,,,
26/08/98,Leicester,Man United,0,0,D,0,0,D,R Styles,,,,,,,,,,,,
26/08/98,Liverpool,Southampton,2,1,H,1,1,D,P Walton,,,,,,,,,,,,
26/08/98,Newcastle,Tottenham,1,0,H,1,0,H,M Dean,,,,,,,,,,,,
