Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
09/08/97,Barnsley,West Ham,1,2,A,1,0,H,L Stevens,,,,,,,,,,,,
09/08/97,Blackburn,Derby,1,0,H,1,0,H,C Cooper,,,,,,,,,,,,
09/08/97,Coventry,Chelsea,3,2,H,1,1,D,D Smith,,,,,,,,,,,,
09/08/97,Everton,Crystal Palace,1,2,A,0,1,A,N Graham,,,,,,,,,,,,
09/08/97,Leeds,Arsenal,1,1,D,1,1,D,S Dunn,,,,,,,,,,,,
09/08/97,Leicester,Aston Villa,1,0,H,1,0,H,R Styles,,,,,,,,,,,,
09/08/97,Newcastle,Sheffield Weds,2,1,H,1,1,D,P Walton,,,,,,,,,,,,
09/08/97,Southampton,Bolton,0,1,A,0,1,A,M Dean,,,,,,,,,,,,
09/08/97,Wimbledon,Liverpool,1,1,D,0,0,D,S Wicks,,,,,,,,,,,,
10/08/97,Tottenham,Man United,0,2,A,0,0,D,M Riley,,,,,,,,,,,,
11/08/97,Arsenal,Coventry,2,0,H,1,0,H,P Durkin,,,,,,,,,,,,
11/08/97,Man United,Tottenham,2,0,H,1,0,H,D Elleray,,,,,,,,,,,,
13/08/97,West Ham,Leeds,1,1,D,0,1,A,G Hall,,,,,,,,,,,,
16/08/97,Aston Villa,Barnsley,0,1,A,0,0,D,R Jones,,,,,,,,,,,,
16/08/97,Bolton,Southampton,1,0,H,0,0,D,T Riley,,,,,,,,,,,,
16/08/97,Chelsea,Wimbledon,0,0,D,0,0,D,J Kelly,,,,,,,,,,,,
16/08/97,Crystal Palace,Everton,2,1,H,0,0,D,A Baker,,,,,,,,,,,,
16/08/97,Derby,Blackburn,1,1,D,0,1,A,K Winter,,,,,,,,,,,,
16/08/97,Liverpool,Leicester,2,1,H,1,0,H,S Lodge,,,,,,,,,,,,
16/08/97,Man United,Newcastle,1,1,D,0,0,D,P Jones,,,,,,,,,,,,
16/08/97,Sheffield Weds,Tottenham,1,1,D,1,0,H,L Stevens,,,,,,,,,,,,
20/08/97,Barnsley,Aston Villa,0,0,D,0,0,D,C Cooper,,,,,,,,,,,,
20/08/97,Blackburn,Derby,1,0,H,1,0,H,D Smith,,,,,,,,,,,,
20/08/97,Coventry,Arsenal,1,1,D,1,0,H,N Graham,,,,,,,,,,,,
20/08/97,Crystal Palace,Everton,0,0,D,0,0,D,S Dunn,,,,,,,,,,,,
