Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
20/08/94,Arsenal,Man City,3,0,H,,,,M Riley,,,,,,,,,,,,
20/08/94,Chelsea,Norwich,2,0,H,,,,P Durkin,,,,,,,,,,,,
20/08/94,Coventry,Wimbledon,1,1,D,,,,D Elleray,,,,,,,,,,,,
20/08/94,Crystal Palace,Liverpool,1,6,A,,,,G Hall,,,,,,,,,,,,
20/08/94,Everton,Aston Villa,2,2,D,,,,R Jones,,,,,,,,,,,,
20/08/94,Ipswich,Nott'm Forest,0,1,A,,,,T Riley,,,,,,,,,,,,
20/08/94,Man United,QPR,2,0,H,,,,J Kelly,,,,,,,,,,,,
20/08/94,Sheffield Weds,Tottenham,3,4,A,,,,A Baker,,,,,,,,,,,,
20/08/94,Southampton,Blackburn,1,1,D,,,,K Winter,,,,,,,,,,,,
20/08/94,West Ham,Leeds,0,0,D,,,,S Lodge,,,,,,,,,,,,
21/08/94,Leicester,Newcastle,1,3,A,,,,P Jones,,,,,,,,,,,,
22/08/94,Nott'm Forest,Man United,1,1,D,,,,L Stevens,,,,,,,,,,,,
23/08/94,Blackburn,Leicester,3,0,H,,,,C Cooper,,,,,,,,,,,,
23/08/94,Liverpool,Arsenal,1,2,A,,,,D Smith,,,,,,,,,,,,
23/08/94,QPR,Sheffield Weds,3,2,H,,,,N Graham,,,,,,,,,,,,
24/08/94,Aston Villa,Crystal Palace,1,1,D,,,,S Dunn,,,,,,,,,,,,
24/08/94,Man City,Everton,4,0,H,,,,R Styles,,,,,,,,,,,,
24/08/94,Newcastle,Coventry,4,0,H,,,,P Walton,,,,,,,,,,,,
24/08/94,Norwich,Ipswich,2,0,H,,,,M Dean,,,,,,,,,,,,
24/08/94,Wimbledon,Chelsea,0,0,D,,,,S Wicks,,,,,,,,,,,,
27/08/94,Blackburn,Arsenal,0,0,D,,,,M Riley,,,,,,,,,,,,
27/08/94,Coventry,Liverpool,2,3,A,,,,P Durkin,,,,,,,,,,,,
27/08/94,Crystal Palace,Man City,1,0,H,,,,D Elleray,,,,,,,,,,,,
27/08/94,Everton,Nott'm Forest,1,2,A,,,,G Hall,,,,,,,,,,,,
27/08/94,Ipswich,Man United,0,0,D,,,,R Jones,,,,,,,,,,,,
27/08/94,Leeds,Leicester,2,1,H,,,,T Riley,,,,,,,,,,,,
27/08/94,QPR,Newcastle,2,3,A,,,,J Kelly,,,,,,,,,,,,
27/08/94,Tottenham,West Ham,1,0,H,,,,A Baker,,,,,,,,,,,,
28/08/94,Aston Villa,Southampton,1,1,D,,,,K Winter,,,,,,,,,,,,
28/08/94,Chelsea,Sheffield Weds,1,0,H,,,,S Lodge,,,,,,,,,,,,
29/08/94,Norwich,Wimbledon,0,0,D,,,,P Jones,,,,,,,,,,,,
31/08/94,Liverpool,Tottenham,3,0,H,,,,L Stevens,,,,,,,,,,,,
10/09/94,Arsenal,Everton,0,1,A,,,,C Cooper,,,,,,,,,,,,
10/09/94,Blackburn,Man City,2,0,H,,,,D Smith,,,,,,,,,,,,
10/09/94,Leicester,Ipswich,1,0,H,,,,N Graham,,,,,,,,,,,,
10/09/94,Liverpool,Aston Villa,1,3,A,,,,S Dunn,,,,,,,,,,,,
10/09/94,Man United,Chelsea,1,1,D,,,,R Styles,,,,,,,,,,,,
10/09/94,Newcastle,Crystal Palace,1,0,H,,,,P Walton,,,,,,,,,,,,
10/09/94,Nott'm Forest,Southampton,1,1,D,,,,M Dean,,,,,,,,,,,,
10/09/94,Sheffield Weds,Coventry,2,2,D,,,,S Wicks,,,,,,,,,,,,
10/09/94,Wimbledon,QPR,2,0,H,,,,M Riley,,,,,,,,,,,,
11/09/94,Leeds,Norwich,1,0,H,,,,P Durkin,,,,,,,,,,,,
