Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
17/08/96,Arsenal,West Ham,2,0,H,2,0,H,M Riley,,,,,,,,,,,,
17/08/96,Blackburn,Tottenham,0,2,A,0,1,A,P Durkin,,,,,,,,,,,,
17/08/96,Coventry,Nott'm Forest,0,3,A,0,2,A,D Elleray,,,,,,,,,,,,
17/08/96,Derby,Leeds,3,3,D,0,1,A,G Hall,,,,,,,,,,,,
17/08/96,Everton,Newcastle,2,0,H,2,0,H,R Jones,,,,,,,,,,,,
17/08/96,Middlesbrough,Liverpool,3,3,D,2,2,D,T Riley,,,,,,,,,,,,
17/08/96,Sheffield Weds,Aston Villa,2,1,H,0,0,D,J Kelly,,,,,,,,,,,,
17/08/96,Sunderland,Leicester,0,0,D,0,0,D,A Baker,,,,,,,,,,,,
17/08/96,Wimbledon,Man United,0,3,A,0,1,A,K Winter,,,,,,,,,,,,
18/08/96,Southampton,Chelsea,0,0,D,0,0,D,S Lodge,,,,,,,,,,,,
19/08/96,Liverpool,Arsenal,2,0,H,0,0,D,P Jones,,,,,,,,,,,,
19/08/96,West Ham,Coventry,1,1,D,0,1,A,L Stevens,,,,,,,,,,,,
20/08/96,Aston Villa,Derby,2,1,H,1,0,H,C Cooper,,,,,,,,,,,,
20/08/96,Leeds,Wimbledon,1,1,D,0,1,A,D Smith,,,,,,,,,,,,
21/08/96,Chelsea,Sunderland,0,3,A,0,1,A,N Graham,,,,,,,,,,,,
21/08/96,Leicester,Everton,2,1,H,1,0,H,S Dunn,,,,,,,,,,,,
21/08/96,Man United,West Ham,2,0,H,1,0,H,R Styles,,,,,,,,,,,,
21/08/96,Newcastle,Southampton,1,0,H,1,0,H,P Walton,,,,,,,,,,,,
21/08/96,Nott'm Forest,Blackburn,1,1,D,0,1,A,M Dean,,,,,,,,,,,,
21/08/96,Tottenham,Sheffield Weds,2,0,H,1,0,H,S Wicks,,,,,,,,,,,,
24/08/96,Arsenal,Leicester,2,0,H,0,0,D,M Riley,,,,,,,,,,,,
24/08/96,Blackburn,Chelsea,1,1,D,0,1,A,P Durkin,,,,,,,,,,,,
24/08/96,Coventry,Aston Villa,1,0,H,0,0,D,D Elleray,,,,,,,,,,,,
24/08/96,Derby,Wimbledon,1,0,H,0,0,D,G Hall,,,,,,,,,,,,
24/08/96,Everton,Liverpool,1,1,D,0,0,D,R Jones,,,,,,,,,,,,
24/08/96,Middlesbrough,Sunderland,1,1,D,1,1,D,T Riley,,,,,,,,,,,,
24/08/96,Nott'm Forest,Sheffield Weds,2,0,H,2,0,H,J Kelly,,,,,,,,,,,,
24/08/96,Southampton,West Ham,1,1,D,0,1,A,A Baker,,,,,,,,,,,,
24/08/96,Tottenham,Newcastle,1,1,D,1,0,H,K Winter,,,,,,,,,,,,
